id,numero_cd,autor,titulo_cd
25,0024,"APRENDA A RELAJARSE FÁCILMENTE","APRENDA A RELAJARSE FÁCILMENTE"
74,0066,"CLÁSICOS POPULARESRTVE","CLÁSICOS POPULARESRTVE"
75,0067,"CLUB CAMELOT","20072008 NAVIDADES"
79,0071,"CULTURA URBANA","CULTURA URBANA"
80,0072,DAMAX,"RADIO DAMAX"
127,0114,GUS,GUS02007
148,0135,"KARROÑA",IMPASIBLE
150,0137,"LA BALANZA","EN ESTA ESQUINA"
153,0140,"LA ESTIRPEH","CAMPO DE TIRO 2005"
162,0149,"LAS CANCIONES INFANTILES DE SIEMPRE","LAS CANCIONES INFANTILES DE SIEMPRE"
167,0154,LEUR,"DAÑOS Y LESIONES"
214,0201,"NAVIDAD EN EL MEDITERRÁNEO","NAVIDAD EN EL MEDITERRÁNEO"
216,0203,"NIÑO Y PISTOLA","NIÑO Y PISTOLA"
251,0238,"SEX AND THE CITY","SEX AND THE CITY"
257,0244,SONNI,"CAL Y ARENA"
259,0246,SOUNDGARDEN,SOUNDGARDEN
260,0247,"STEVIE WONDER","A IRMANDADE DAS ESTRELAS"
282,0270,"VICENTE Y ALEJANDRO FERNÁNDEZ","EN VIVO DESDE EL FORO SOL, MÉXICO"
283,0271,"VILLANCICOS GITANOS","VILLANCICOS GITANOS"
292,0280,"CLÁSICOS DE LEYENDA","¿SABE CUÁL FUE EL COSTE OCULTO DE ALGUNAS GRANDES OBRAS?"
300,0288,"ROMPER CON LOS LIMITES",JAZZ
301,0289,"ROMPER CON LOS LÍMITES",POP
312,0300,"TIEMPO PARA LA MÚSICA DE LOS...","AÑOS 70"
313,0301,"TIEMPO PARA LA MÚSICA DE LOS...","AÑOS 80"
314,0302,"TIEMPO PARA LA MÚSICA DE LOS...","AÑOS 90"
380,0368,SKARAMUZA,SKARAMUZA
385,0373,"25 ANIVERSARIO DEL CONSERVATORIO PROFESIONAL DE MUSICA DE ELCHE","25 ANIVERSARIO DEL CONSERVATORIO PROFESIONAL DE MUSICA DE ELCHE"
389,0377,"SOCIEDAD UNION MUSICAL Y ARTISTICA DE SAX","SOCIEDAD UNION MUSICAL Y ARTISTICA DE SAX"
392,0380,"UNIVERSIDAD DE OVIEDO","CALME DE NUITS"
394,0382,"AARDVARK ASTEROID","POUNDING THE SAME OLD STREETS"
396,0384,"Varios autores","100 MEJORES BOLEROS"
407,0395,"BOSSA NOVA & SAMBA","THE GOLD ALBUM"
408,0396,"SEX AND THE CITY 2","SEX AND THE CITY 2"
409,0397,"SLUMDOG MILLIONAIRE","SLUMDOG MILLIONAIRE"
425,0413,"100 MEJORES ÉXITOS DE LA MÚSICA FRANCESA","100 MEJORES ÉXITOS DE LA MÚSICA FRANCESA"
428,0416,"GLOBAL SOUNDS","MUSIC FROM BRAZIL"
429,0417,"GRUPO DE CANTAUTORES DE ORIHUELA","GRUPO DE CANTAUTORES DE LA PRIMITIVA PASIÓN FEDERICO ROGEL"
498,0486,"MAYOR TOM","RETRATO ROBOT EP"
534,0522,"R&B ULTIMATE COLLECTION","R&B ULTIMATE COLLECTION"
555,0542,"AMERICAN GRAFFITI","AMERICAN GRAFFITI"
556,0543,"UNDERGROUND MIAMI","UNDERGROUND MIAMI"
622,0609,"PURA MANDANGA","TODO O NADA"
623,0610,INQUIRO,FINALES
624,0611,"AMIGOS QUE NO TENDRÉ","QUE DIVERTIDO"
626,0613,"UNIVERSIDAD MIGUEL HERNÁNDEZ","X ANIVERSARIO"
633,0620,"UNIVERSIDAD MIGUEL HERNÁNDEZ","TUNA DE MEDICINA BECAS AMARILLAS"
634,0621,"UNIVERSIDAD AUTÓNOMA DE MADRID","AUDICIÓN INTEGRAL DE LAS SONATAS PARA PIANO DE W.A. MOZART"
635,0622,"AARDVARK ASTEROID",MAQUETA
642,0630,"Varios autores",MUSICALS
706,0694,ARKOUT,"LIFE FILOSOPHY"
708,0696,"LA VIDA DE BRIAN","IMAGINATION OVER THE INTELLIGENCE"
710,0698,DELAFABRE,"SUN AND MOON"
711,0699,"CUARTA PLANTA",PREMEZCLA
715,0703,"LOS ÚLTIMOS BAÑISTAS","MAQUETA 2009"
716,0704,NEWPAKETS,"MAQUETA 2010"
746,0734,"ESCOLANIA MISTERI D'ELX",NADAL
747,0735,"CAPELLA DE MINISTRERS","LA FESTA MISTERI D'ELX"
748,0736,"CANÇONERET VALENCIÀ DE NADAL","CANÇONERET VALENCIÀ DE NADAL"
749,0737,"CORAL ILICITANA","NUESTRA MÚSICA"
750,0738,"VARIACIONES PARA PIANO SOBRE LOS PRELUDIOS DEL MISTERIO DE ELCHE","ÓSCAR ESPLÁ"
753,0741,VOODOO,"TATTOO ROMPER LA VOZ"
